iteration,Ux_initial,Ux_linear_final,Uy_initial,Uy_linear_final,Uz_initial,Uz_linear_final,p_initial,p_linear_final,epsilon_initial,epsilon_linear_final,k_initial,k_linear_final,continuity_local,continuity_global,continuity_cumulative
49.0,0.009981206235,0.0001639065282,0.01449494063,0.000179010453,0.00951260389,0.0001408370479,0.04864945992,0.001984299937,0.01344996173,0.0006190545546,0.01596964179,7.172740216e-05,0.0335696856,-0.001975624677,0.02539278625
50.0,0.00934795266,0.0001528223096,0.0142810102,0.0001763543517,0.009288978077,0.0001369630177,0.06388868429,0.002455547528,0.01325668008,0.0006065290523,0.01571487092,7.033693408e-05,0.04263456612,-0.002730663883,0.02266212236
51.0,0.008630054473,0.0001384938902,0.01422294417,0.0001751312014,0.008923072902,0.0001302719119,0.07222808397,0.002817144921,0.01309355509,0.0005975416381,0.01547735556,6.910159471e-05,0.05301132775,-0.002968649161,0.0196934732
52.0,0.008014184831,0.000123859235,0.01426805507,0.0001751593198,0.008532065111,0.0001224184117,0.07835375181,0.003198544171,0.01297516799,0.0005902984486,0.01528385088,6.769370751e-05,0.06303715281,-0.00275460392,0.01693886928
53.0,0.007587638619,0.0001109126212,0.01437666778,0.000175896821,0.008185595713,0.0001144701689,0.07848710334,0.003379771522,0.01288632281,0.0005819904966,0.01509829148,6.650714923e-05,0.06954401711,-0.002084661144,0.01485420814
54.0,0.007354386904,0.0001009482935,0.01452491314,0.0001770841038,0.007944966491,0.0001081204997,0.07253456198,0.003234300508,0.0127929947,0.0005750021823,0.01491515999,6.508978317e-05,0.07090344522,-0.002725618332,0.01212858981
55.0,0.007265029334,9.446821322e-05,0.01475434261,0.0001788422797,0.007828946625,0.0001045958425,0.06382391746,0.002959919796,0.01270806443,0.0005690103021,0.01473152807,6.389935927e-05,0.06859577438,-0.003542772826,0.008585816982
56.0,0.007263081524,9.096049709e-05,0.01501244247,0.0001811385944,0.007829999118,0.0001041925096,0.05373497083,0.002633840804,0.01262483798,0.0005619761994,0.01453995192,6.279193878e-05,0.06327794798,-0.004746198942,0.003839618039
57.0,0.007280319844,8.935128373e-05,0.0152379075,0.0001836793847,0.007864661848,0.0001050676073,0.04465791547,0.0009396823239,0.01253050275,0.0005547789903,0.01435617685,6.151248013e-05,0.02232464643,-0.001340787598,0.002498830441
58.0,0.007228715179,8.871874722e-05,0.01543216338,0.0001864419766,0.007875959072,0.0001057890868,0.03314932373,0.0008212213578,0.01238664117,0.000545857207,0.01414623333,5.995729989e-05,0.0202665326,-0.001583160229,0.000915670212
59.0,0.007130371838,8.78933247e-05,0.0155961578,0.0001893364005,0.007788597735,0.000104881929,0.02341561202,0.0005534784942,0.01221177434,0.0005320228006,0.01393660461,5.865818401e-05,0.0132737672,-0.001525368784,-0.0006096985716
60.0,0.00695182635,8.642078632e-05,0.01569503166,0.0001919990117,0.007573890545,0.000101725034,0.02445075635,0.0004578374883,0.01199513578,0.0005200637248,0.01371617299,5.713805583e-05,0.0107924122,-0.001390982165,-0.002000680737
61.0,0.006732490791,8.458156503e-05,0.01572052206,0.0001943009341,0.007249959053,9.646047709e-05,0.03433566303,0.001592615937,0.01176369945,0.0005060678973,0.01347440532,5.562060236e-05,0.03504764656,-0.002483773094,-0.004484453831
62.0,0.006479844197,8.300385151e-05,0.01565003837,0.0001952241777,0.006890561758,9.063631337e-05,0.04022741009,0.0007597419412,0.01154980828,0.0004921431713,0.01324074479,5.399580813e-05,0.01559990394,0.002007552788,-0.002476901043
63.0,0.006328246758,8.202502257e-05,0.0156514282,0.0001971822432,0.006494901118,8.398232431e-05,0.04458107588,0.0008651365855,0.0113214146,0.000477286902,0.01298314405,5.265077978e-05,0.01737240493,0.002677957329,0.0002010562858
64.0,0.006274426243,8.234258993e-05,0.01561207718,0.0001986311296,0.006183617341,7.864277488e-05,0.04669837173,0.0009025061387,0.01110043107,0.0004629609199,0.01272941714,5.10014466e-05,0.01756744855,0.002824775945,0.003025832231
65.0,0.006344633652,8.471666971e-05,0.01552043012,0.0001991118388,0.006006303665,7.594098013e-05,0.0465201345,0.002306077347,0.01087476064,0.0004495154384,0.01246911391,4.98233482e-05,0.04379596377,-0.004291906524,-0.001266074294
66.0,0.006556347444,9.011202377e-05,0.01533540617,0.0001969413391,0.005920263536,7.52054542e-05,0.03975917376,0.0008389357905,0.01067858125,0.0004385732358,0.01223191516,4.857857781e-05,0.01565158524,0.001489373782,0.0002232994885
67.0,0.006625243192,9.240014066e-05,0.01520310758,0.0001963558436,0.005868104655,7.531250824e-05,0.03479335273,0.0007751970026,0.01048661005,0.000427204622,0.01199575338,4.752937888e-05,0.0144106762,-0.0002962013115,-7.2901823e-05
68.0,0.006646730254,9.35576825e-05,0.01505872708,0.0001949415437,0.005810340182,7.521860589e-05,0.02708043751,0.0006701174709,0.01031772136,0.0004170178591,0.01176930925,4.633122527e-05,0.01234125692,-0.001496437423,-0.001569339246
